# Существительное

N:0:pA	NCXXNXXAP
	
N:subst:m:sA	NCXXNM5AS
N:subst:m:sD	NCXXNM5DS
N:subst:m:sG	NCXXNM5GS
N:subst:m:sI	NCXXNM5IS
N:subst:m:sL	NCXXNM5LS
N:subst:m:sN	NCXXNM5NS
	
N:subst:n:pA	NCXXNN5AP
N:subst:n:pD	NCXXNN5DP
N:subst:n:pG	NCXXNN5GP
N:subst:n:pI	NCXXNN5IP
N:subst:n:pL	NCXXNN5LP
N:subst:n:pN	NCXXNN5NP
	
N:subst:n:sA	NCXXNN5AS
N:subst:n:sD	NCXXNN5DS
N:subst:n:sG	NCXXNN5GS
N:subst:n:sI	NCXXNN5IS
N:subst:n:sL	NCXXNN5LS
N:subst:n:sN	NCXXNN5NS

N:anim:0:pA	NCAXNXXAP
N:anim:0:pD	NCAXNXXDP
N:anim:0:pG	NCAXNXXGP
N:anim:0:pI	NCAXNXXIP
N:anim:0:pL	NCAXNXXLP
N:anim:0:pN	NCAXNXXNP
	
N:anim:c:pA	NCAXNCXAP
N:anim:c:pD	NCAXNCXDP
N:anim:c:pG	NCAXNCXGP
N:anim:c:pI	NCAXNCXIP
N:anim:c:pL	NCAXNCXLP
N:anim:c:pN	NCAXNCXNP
	
N:anim:c:sA	NCAXNCXAS
N:anim:c:sD	NCAXNCXDS
N:anim:c:sG	NCAXNCXGS
N:anim:c:sI	NCAXNCXIS
N:anim:c:sL	NCAXNCXLS
N:anim:c:sN	NCAXNCXNS
	
N:anim:f:pA	NCAXNFXAP
N:anim:f:pD	NCAXNFXDP
N:anim:f:pG	NCAXNFXGP
N:anim:f:pI	NCAXNFXIP
N:anim:f:pL	NCAXNFXLP
N:anim:f:pN	NCAXNFXNP
	
N:anim:f:sA	NCAXNFXAS
N:anim:f:sD	NCAXNFXDS
N:anim:f:sG	NCAXNFXGS
N:anim:f:sI	NCAXNFXIS
N:anim:f:sL	NCAXNFXLS
N:anim:f:sN	NCAXNFXNS
	
N:anim:m:pA	NCAXNMXAP
N:anim:m:pD	NCAXNMXDP
N:anim:m:pG	NCAXNMXGP
N:anim:m:pI	NCAXNMXIP
N:anim:m:pL	NCAXNMXLP
N:anim:m:pN	NCAXNMXNP
	
N:anim:m:sA	NCAXNMXAS
N:anim:m:sD	NCAXNMXDS
N:anim:m:sG	NCAXNMXGS
N:anim:m:sI	NCAXNMXIS
N:anim:m:sL	NCAXNMXLS
N:anim:m:sN	NCAXNMXNS
N:anim:m:sV	NCAXNMXVS
	
N:anim:n:pA	NCAXNNXAP
N:anim:n:pD	NCAXNNXDP
N:anim:n:pG	NCAXNNXGP
N:anim:n:pI	NCAXNNXIP
N:anim:n:pL	NCAXNNXLP
N:anim:n:pN	NCAXNNXNP
	
N:anim:n:sA	NCAXNNXAS
N:anim:n:sD	NCAXNNXDS
N:anim:n:sG	NCAXNNXGS
N:anim:n:sI	NCAXNNXIS
N:anim:n:sL	NCAXNNXLS
N:anim:n:sN	NCAXNNXNS
	
N:anim:subst:f:pA	NCAXNF5AP
N:anim:subst:f:pD	NCAXNF5DP
N:anim:subst:f:pG	NCAXNF5GP
N:anim:subst:f:pI	NCAXNF5IP
N:anim:subst:f:pL	NCAXNF5LP
N:anim:subst:f:pN	NCAXNF5NP
	
N:anim:subst:f:sA	NCAXNF5AS
N:anim:subst:f:sD	NCAXNF5DS
N:anim:subst:f:sG	NCAXNF5GS
N:anim:subst:f:sI	NCAXNF5IS
N:anim:subst:f:sL	NCAXNF5LS
N:anim:subst:f:sN	NCAXNF5NS
	
N:anim:subst:m:pA	NCAXNM5AP
N:anim:subst:m:pD	NCAXNM5DP
N:anim:subst:m:pG	NCAXNM5GP
N:anim:subst:m:pI	NCAXNM5IP
N:anim:subst:m:pL	NCAXNM5LP
N:anim:subst:m:pN	NCAXNM5NP
	
N:anim:subst:m:sA	NCAXNM5AS
N:anim:subst:m:sD	NCAXNM5DS
N:anim:subst:m:sG	NCAXNM5GS
N:anim:subst:m:sI	NCAXNM5IS
N:anim:subst:m:sL	NCAXNM5LS
N:anim:subst:m:sN	NCAXNM5NS
	
N:anim:subst:n:pA	NCAXNN5AP
N:anim:subst:n:pD	NCAXNN5DP
N:anim:subst:n:pG	NCAXNN5GP
N:anim:subst:n:pI	NCAXNN5IP
N:anim:subst:n:pL	NCAXNN5LP
N:anim:subst:n:pN	NCAXNN5NP
	
N:anim:subst:n:sA	NCAXNN5AS
N:anim:subst:n:sD	NCAXNN5DS
N:anim:subst:n:sG	NCAXNN5GS
N:anim:subst:n:sI	NCAXNN5IS
N:anim:subst:n:sL	NCAXNN5LS
N:anim:subst:n:sN	NCAXNN5NS
	
N:inanim:0:pA	NCIXNXXAP
N:inanim:0:pD	NCIXNXXDP
N:inanim:0:pG	NCIXNXXGP
N:inanim:0:pI	NCIXNXXIP
N:inanim:0:pL	NCIXNXXLP
N:inanim:0:pN	NCIXNXXNP
	
N:inanim:c:pA	NCIXNCXAP
N:inanim:c:pD	NCIXNCXDP
N:inanim:c:pG	NCIXNCXGP
N:inanim:c:pI	NCIXNCXIP
N:inanim:c:pL	NCIXNCXLP
N:inanim:c:pN	NCIXNCXNP
	
N:inanim:c:sA	NCIXNCXAS
N:inanim:c:sD	NCIXNCXDS
N:inanim:c:sG	NCIXNCXGS
N:inanim:c:sI	NCIXNCXIS
N:inanim:c:sL	NCIXNCXLS
N:inanim:c:sN	NCIXNCXNS
	
N:inanim:f:pA	NCIXNFXAP
N:inanim:f:pD	NCIXNFXDP
N:inanim:f:pG	NCIXNFXGP
N:inanim:f:pI	NCIXNFXIP
N:inanim:f:pL	NCIXNFXLP
N:inanim:f:pN	NCIXNFXNP
	
N:inanim:f:sA	NCIXNFXAS
N:inanim:f:sD	NCIXNFXDS
N:inanim:f:sG	NCIXNFXGS
N:inanim:f:sI	NCIXNFXIS
N:inanim:f:sL	NCIXNFXLS
N:inanim:f:sN	NCIXNFXNS
	
N:inanim:m:pA	NCIXNMXAP
N:inanim:m:pD	NCIXNMXDP
N:inanim:m:pG	NCIXNMXGP
N:inanim:m:pI	NCIXNMXIP
N:inanim:m:pL	NCIXNMXLP
N:inanim:m:pN	NCIXNMXNP
	
N:inanim:m:sA	NCIXNMXAS
N:inanim:m:sD	NCIXNMXDS
N:inanim:m:sG	NCIXNMXGS
N:inanim:m:sI	NCIXNMXIS
N:inanim:m:sL	NCIXNMXLS
N:inanim:m:sN	NCIXNMXNS
N:inanim:m:sV	NCIXNMXVS
	
N:inanim:n:pA	NCIXNNXAP
N:inanim:n:pD	NCIXNNXDP
N:inanim:n:pG	NCIXNNXGP
N:inanim:n:pI	NCIXNNXIP
N:inanim:n:pL	NCIXNNXLP
N:inanim:n:pN	NCIXNNXNP
	
N:inanim:n:sA	NCIXNNXAS
N:inanim:n:sD	NCIXNNXDS
N:inanim:n:sG	NCIXNNXGS
N:inanim:n:sI	NCIXNNXIS
N:inanim:n:sL	NCIXNNXLS
N:inanim:n:sN	NCIXNNXNS
	
N:inanim:subst:f:pA	NCIXNF5AP
N:inanim:subst:f:pD	NCIXNF5DP
N:inanim:subst:f:pG	NCIXNF5GP
N:inanim:subst:f:pI	NCIXNF5IP
N:inanim:subst:f:pL	NCIXNF5LP
N:inanim:subst:f:pN	NCIXNF5NP
	
N:inanim:subst:f:sA	NCIXNF5AS
N:inanim:subst:f:sD	NCIXNF5DS
N:inanim:subst:f:sG	NCIXNF5GS
N:inanim:subst:f:sI	NCIXNF5IS
N:inanim:subst:f:sL	NCIXNF5LS
N:inanim:subst:f:sN	NCIXNF5NS
	
N:inanim:subst:m:pA	NCIXNM5AP
N:inanim:subst:m:pD	NCIXNM5DP
N:inanim:subst:m:pG	NCIXNM5GP
N:inanim:subst:m:pI	NCIXNM5IP
N:inanim:subst:m:pL	NCIXNM5LP
N:inanim:subst:m:pN	NCIXNM5NP
	
N:inanim:subst:m:sA	NCIXNM5AS
N:inanim:subst:m:sD	NCIXNM5DS
N:inanim:subst:m:sG	NCIXNM5GS
N:inanim:subst:m:sI	NCIXNM5IS
N:inanim:subst:m:sL	NCIXNM5LS
N:inanim:subst:m:sN	NCIXNM5NS
	
N:inanim:subst:n:pA	NCIXNN5AP
N:inanim:subst:n:pD	NCIXNN5DP
N:inanim:subst:n:pG	NCIXNN5GP
N:inanim:subst:n:pI	NCIXNN5IP
N:inanim:subst:n:pL	NCIXNN5LP
N:inanim:subst:n:pN	NCIXNN5NP
	
N:inanim:subst:n:sA	NCIXNN5AS
N:inanim:subst:n:sD	NCIXNN5DS
N:inanim:subst:n:sG	NCIXNN5GS
N:inanim:subst:n:sI	NCIXNN5IS
N:inanim:subst:n:sL	NCIXNN5LS
N:inanim:subst:n:sN	NCIXNN5NS

NP_fn:f:sA	NPXXNFXAS
NP_fn:f:sD	NPXXNFXDS
NP_fn:f:sG	NPXXNFXGS
NP_fn:f:sI	NPXXNFXIS
NP_fn:f:sL	NPXXNFXLS
NP_fn:f:sN	NPXXNFXNS
	
NP_fn:m:sA	NPXXNMXAS
NP_fn:m:sD	NPXXNMXDS
NP_fn:m:sG	NPXXNMXGS
NP_fn:m:sI	NPXXNMXIS
NP_fn:m:sL	NPXXNMXLS
NP_fn:m:sN	NPXXNMXNS
	
NP_mn:f:sA	NPXXNFXAS
NP_mn:f:sD	NPXXNFXDS
NP_mn:f:sG	NPXXNFXGS
NP_mn:f:sI	NPXXNFXIS
NP_mn:f:sL	NPXXNFXLS
NP_mn:f:sN	NPXXNFXNS
	
NP_mn:m:sA	NPXXNMXAS
NP_mn:m:sD	NPXXNMXDS
NP_mn:m:sG	NPXXNMXGS
NP_mn:m:sI	NPXXNMXIS
NP_mn:m:sL	NPXXNMXLS
NP_mn:m:sN	NPXXNMXNS
	
NP_surn:0:pA	NPXXNXXAP
NP_surn:0:pD	NPXXNXXDP
NP_surn:0:pG	NPXXNXXGP
NP_surn:0:pI	NPXXNXXIP
NP_surn:0:pL	NPXXNXXLP
NP_surn:0:pN	NPXXNXXNP
	
NP_surn:f:sA	NPXXNFXAS
NP_surn:f:sD	NPXXNFXDS
NP_surn:f:sG	NPXXNFXGS
NP_surn:f:sI	NPXXNFXIS
NP_surn:f:sL	NPXXNFXLS
NP_surn:f:sN	NPXXNFXNS
	
NP_surn:m:sA	NPXXNMXAS
NP_surn:m:sD	NPXXNMXDS
NP_surn:m:sG	NPXXNMXGS
NP_surn:m:sI	NPXXNMXIS
NP_surn:m:sL	NPXXNMXLS
NP_surn:m:sN	NPXXNMXNS

NP_surn	NPXXNXXXX

NP_top_country:0:pA	NPXXNXXAP
NP_top_country:0:pD	NPXXNXXDP
NP_top_country:0:pG	NPXXNXXGP
NP_top_country:0:pI	NPXXNXXIP
NP_top_country:0:pL	NPXXNXXLP
NP_top_country:0:pN	NPXXNXXNP
	
NP_top_country:f:sA	NPXXNFXAS
NP_top_country:f:sD	NPXXNFXDS
NP_top_country:f:sG	NPXXNFXGS
NP_top_country:f:sI	NPXXNFXIS
NP_top_country:f:sL	NPXXNFXLS
NP_top_country:f:sN	NPXXNFXNS
	
NP_top_country:m:sA	NPXXNMXAS
NP_top_country:m:sD	NPXXNMXDS
NP_top_country:m:sG	NPXXNMXGS
NP_top_country:m:sI	NPXXNMXIS
NP_top_country:m:sL	NPXXNMXLS
NP_top_country:m:sN	NPXXNMXNS

NP_top_country:n:sA	NPXXNNXAS
NP_top_country:n:sD	NPXXNNXDS
NP_top_country:n:sG	NPXXNNXGS
NP_top_country:n:sI	NPXXNNXIS
NP_top_country:n:sL	NPXXNNXLS
NP_top_country:n:sN	NPXXNNXNS

NP_top_country	NPXXNXXXX

NP_top_distr:0:pA	NPXXNXXAP
NP_top_distr:0:pD	NPXXNXXDP
NP_top_distr:0:pG	NPXXNXXGP
NP_top_distr:0:pI	NPXXNXXIP
NP_top_distr:0:pL	NPXXNXXLP
NP_top_distr:0:pN	NPXXNXXNP
	
NP_top_distr:f:sA	NPXXNFXAS
NP_top_distr:f:sD	NPXXNFXDS
NP_top_distr:f:sG	NPXXNFXGS
NP_top_distr:f:sI	NPXXNFXIS
NP_top_distr:f:sL	NPXXNFXLS
NP_top_distr:f:sN	NPXXNFXNS
	
NP_top_distr:m:sA	NPXXNMXAS
NP_top_distr:m:sD	NPXXNMXDS
NP_top_distr:m:sG	NPXXNMXGS
NP_top_distr:m:sI	NPXXNMXIS
NP_top_distr:m:sL	NPXXNMXLS
NP_top_distr:m:sN	NPXXNMXNS

NP_top_distr:n:sA	NPXXNNXAS
NP_top_distr:n:sD	NPXXNNXDS
NP_top_distr:n:sG	NPXXNNXGS
NP_top_distr:n:sI	NPXXNNXIS
NP_top_distr:n:sL	NPXXNNXLS
NP_top_distr:n:sN	NPXXNNXNS

NP_top_distr	NPXXNXXXX

NP_top_isle:0:pA	NPXXNXXAP
NP_top_isle:0:pD	NPXXNXXDP
NP_top_isle:0:pG	NPXXNXXGP
NP_top_isle:0:pI	NPXXNXXIP
NP_top_isle:0:pL	NPXXNXXLP
NP_top_isle:0:pN	NPXXNXXNP
	
NP_top_isle:f:sA	NPXXNFXAS
NP_top_isle:f:sD	NPXXNFXDS
NP_top_isle:f:sG	NPXXNFXGS
NP_top_isle:f:sI	NPXXNFXIS
NP_top_isle:f:sL	NPXXNFXLS
NP_top_isle:f:sN	NPXXNFXNS
	
NP_top_isle:m:sA	NPXXNMXAS
NP_top_isle:m:sD	NPXXNMXDS
NP_top_isle:m:sG	NPXXNMXGS
NP_top_isle:m:sI	NPXXNMXIS
NP_top_isle:m:sL	NPXXNMXLS
NP_top_isle:m:sN	NPXXNMXNS

NP_top_isle:n:sA	NPXXNNXAS
NP_top_isle:n:sD	NPXXNNXDS
NP_top_isle:n:sG	NPXXNNXGS
NP_top_isle:n:sI	NPXXNNXIS
NP_top_isle:n:sL	NPXXNNXLS
NP_top_isle:n:sN	NPXXNNXNS

NP_top_isle	NPXXNXXXX

NP_top_lake:0:pA	NPXXNXXAP
NP_top_lake:0:pD	NPXXNXXDP
NP_top_lake:0:pG	NPXXNXXGP
NP_top_lake:0:pI	NPXXNXXIP
NP_top_lake:0:pL	NPXXNXXLP
NP_top_lake:0:pN	NPXXNXXNP
	
NP_top_lake:f:sA	NPXXNFXAS
NP_top_lake:f:sD	NPXXNFXDS
NP_top_lake:f:sG	NPXXNFXGS
NP_top_lake:f:sI	NPXXNFXIS
NP_top_lake:f:sL	NPXXNFXLS
NP_top_lake:f:sN	NPXXNFXNS
	
NP_top_lake:m:sA	NPXXNMXAS
NP_top_lake:m:sD	NPXXNMXDS
NP_top_lake:m:sG	NPXXNMXGS
NP_top_lake:m:sI	NPXXNMXIS
NP_top_lake:m:sL	NPXXNMXLS
NP_top_lake:m:sN	NPXXNMXNS

NP_top_lake:n:sA	NPXXNNXAS
NP_top_lake:n:sD	NPXXNNXDS
NP_top_lake:n:sG	NPXXNNXGS
NP_top_lake:n:sI	NPXXNNXIS
NP_top_lake:n:sL	NPXXNNXLS
NP_top_lake:n:sN	NPXXNNXNS

NP_top_lake	NPXXNXXXX

NP_top_mount:0:pA	NPXXNXXAP
NP_top_mount:0:pD	NPXXNXXDP
NP_top_mount:0:pG	NPXXNXXGP
NP_top_mount:0:pI	NPXXNXXIP
NP_top_mount:0:pL	NPXXNXXLP
NP_top_mount:0:pN	NPXXNXXNP
	
NP_top_mount:f:sA	NPXXNFXAS
NP_top_mount:f:sD	NPXXNFXDS
NP_top_mount:f:sG	NPXXNFXGS
NP_top_mount:f:sI	NPXXNFXIS
NP_top_mount:f:sL	NPXXNFXLS
NP_top_mount:f:sN	NPXXNFXNS
	
NP_top_mount:m:sA	NPXXNMXAS
NP_top_mount:m:sD	NPXXNMXDS
NP_top_mount:m:sG	NPXXNMXGS
NP_top_mount:m:sI	NPXXNMXIS
NP_top_mount:m:sL	NPXXNMXLS
NP_top_mount:m:sN	NPXXNMXNS

NP_top_mount:n:sA	NPXXNNXAS
NP_top_mount:n:sD	NPXXNNXDS
NP_top_mount:n:sG	NPXXNNXGS
NP_top_mount:n:sI	NPXXNNXIS
NP_top_mount:n:sL	NPXXNNXLS
NP_top_mount:n:sN	NPXXNNXNS

NP_top_mount	NPXXNXXXX

NP_top_reg:0:pA	NPXXNXXAP
NP_top_reg:0:pD	NPXXNXXDP
NP_top_reg:0:pG	NPXXNXXGP
NP_top_reg:0:pI	NPXXNXXIP
NP_top_reg:0:pL	NPXXNXXLP
NP_top_reg:0:pN	NPXXNXXNP
	
NP_top_reg:f:sA	NPXXNFXAS
NP_top_reg:f:sD	NPXXNFXDS
NP_top_reg:f:sG	NPXXNFXGS
NP_top_reg:f:sI	NPXXNFXIS
NP_top_reg:f:sL	NPXXNFXLS
NP_top_reg:f:sN	NPXXNFXNS
	
NP_top_reg:m:sA	NPXXNMXAS
NP_top_reg:m:sD	NPXXNMXDS
NP_top_reg:m:sG	NPXXNMXGS
NP_top_reg:m:sI	NPXXNMXIS
NP_top_reg:m:sL	NPXXNMXLS
NP_top_reg:m:sN	NPXXNMXNS

NP_top_reg:n:sA	NPXXNNXAS
NP_top_reg:n:sD	NPXXNNXDS
NP_top_reg:n:sG	NPXXNNXGS
NP_top_reg:n:sI	NPXXNNXIS
NP_top_reg:n:sL	NPXXNNXLS
NP_top_reg:n:sN	NPXXNNXNS

NP_top_reg	NPXXNXXXX

NP_top_river:0:pA	NPXXNXXAP
NP_top_river:0:pD	NPXXNXXDP
NP_top_river:0:pG	NPXXNXXGP
NP_top_river:0:pI	NPXXNXXIP
NP_top_river:0:pL	NPXXNXXLP
NP_top_river:0:pN	NPXXNXXNP
	
NP_top_river:f:sA	NPXXNFXAS
NP_top_river:f:sD	NPXXNFXDS
NP_top_river:f:sG	NPXXNFXGS
NP_top_river:f:sI	NPXXNFXIS
NP_top_river:f:sL	NPXXNFXLS
NP_top_river:f:sN	NPXXNFXNS
	
NP_top_river:m:sA	NPXXNMXAS
NP_top_river:m:sD	NPXXNMXDS
NP_top_river:m:sG	NPXXNMXGS
NP_top_river:m:sI	NPXXNMXIS
NP_top_river:m:sL	NPXXNMXLS
NP_top_river:m:sN	NPXXNMXNS

NP_top_river:n:sA	NPXXNNXAS
NP_top_river:n:sD	NPXXNNXDS
NP_top_river:n:sG	NPXXNNXGS
NP_top_river:n:sI	NPXXNNXIS
NP_top_river:n:sL	NPXXNNXLS
NP_top_river:n:sN	NPXXNNXNS

NP_top_river	NPXXNXXXX

NP_top_stl:other:0:pA	NPXXNXXAP
NP_top_stl:other:0:pD	NPXXNXXDP
NP_top_stl:other:0:pG	NPXXNXXGP
NP_top_stl:other:0:pI	NPXXNXXIP
NP_top_stl:other:0:pL	NPXXNXXLP
NP_top_stl:other:0:pN	NPXXNXXNP
	
NP_top_stl:other:f:sA	NPXXNFXAS
NP_top_stl:other:f:sD	NPXXNFXDS
NP_top_stl:other:f:sG	NPXXNFXGS
NP_top_stl:other:f:sI	NPXXNFXIS
NP_top_stl:other:f:sL	NPXXNFXLS
NP_top_stl:other:f:sN	NPXXNFXNS
	
NP_top_stl:other:m:sA	NPXXNMXAS
NP_top_stl:other:m:sD	NPXXNMXDS
NP_top_stl:other:m:sG	NPXXNMXGS
NP_top_stl:other:m:sI	NPXXNMXIS
NP_top_stl:other:m:sL	NPXXNMXLS
NP_top_stl:other:m:sN	NPXXNMXNS

NP_top_stl:other:n:sA	NPXXNNXAS
NP_top_stl:other:n:sD	NPXXNNXDS
NP_top_stl:other:n:sG	NPXXNNXGS
NP_top_stl:other:n:sI	NPXXNNXIS
NP_top_stl:other:n:sL	NPXXNNXLS
NP_top_stl:other:n:sN	NPXXNNXNS

NP_top_stl:other	NPXXNXXXX

NP_top_stl:street:0:pA	NPXXNXXAP
NP_top_stl:street:0:pD	NPXXNXXDP
NP_top_stl:street:0:pG	NPXXNXXGP
NP_top_stl:street:0:pI	NPXXNXXIP
NP_top_stl:street:0:pL	NPXXNXXLP
NP_top_stl:street:0:pN	NPXXNXXNP
	
NP_top_stl:street:f:sA	NPXXNFXAS
NP_top_stl:street:f:sD	NPXXNFXDS
NP_top_stl:street:f:sG	NPXXNFXGS
NP_top_stl:street:f:sI	NPXXNFXIS
NP_top_stl:street:f:sL	NPXXNFXLS
NP_top_stl:street:f:sN	NPXXNFXNS
	
NP_top_stl:street:m:sA	NPXXNMXAS
NP_top_stl:street:m:sD	NPXXNMXDS
NP_top_stl:street:m:sG	NPXXNMXGS
NP_top_stl:street:m:sI	NPXXNMXIS
NP_top_stl:street:m:sL	NPXXNMXLS
NP_top_stl:street:m:sN	NPXXNMXNS

NP_top_stl:street:n:sA	NPXXNNXAS
NP_top_stl:street:n:sD	NPXXNNXDS
NP_top_stl:street:n:sG	NPXXNNXGS
NP_top_stl:street:n:sI	NPXXNNXIS
NP_top_stl:street:n:sL	NPXXNNXLS
NP_top_stl:street:n:sN	NPXXNNXNS

NP_top_stl:street	NPXXNXXXX

NP_top_stl:town:0:pA	NPXXNXXAP
NP_top_stl:town:0:pD	NPXXNXXDP
NP_top_stl:town:0:pG	NPXXNXXGP
NP_top_stl:town:0:pI	NPXXNXXIP
NP_top_stl:town:0:pL	NPXXNXXLP
NP_top_stl:town:0:pN	NPXXNXXNP
	
NP_top_stl:town:f:sA	NPXXNFXAS
NP_top_stl:town:f:sD	NPXXNFXDS
NP_top_stl:town:f:sG	NPXXNFXGS
NP_top_stl:town:f:sI	NPXXNFXIS
NP_top_stl:town:f:sL	NPXXNFXLS
NP_top_stl:town:f:sN	NPXXNFXNS
	
NP_top_stl:town:m:sA	NPXXNMXAS
NP_top_stl:town:m:sD	NPXXNMXDS
NP_top_stl:town:m:sG	NPXXNMXGS
NP_top_stl:town:m:sI	NPXXNMXIS
NP_top_stl:town:m:sL	NPXXNMXLS
NP_top_stl:town:m:sN	NPXXNMXNS

NP_top_stl:town:n:sA	NPXXNNXAS
NP_top_stl:town:n:sD	NPXXNNXDS
NP_top_stl:town:n:sG	NPXXNNXGS
NP_top_stl:town:n:sI	NPXXNNXIS
NP_top_stl:town:n:sL	NPXXNNXLS
NP_top_stl:town:n:sN	NPXXNNXNS

NP_top_stl:town	NPXXNXXXX

NP_org:0:pA	NPXXNXXAP
NP_org:0:pD	NPXXNXXDP
NP_org:0:pG	NPXXNXXGP
NP_org:0:pI	NPXXNXXIP
NP_org:0:pL	NPXXNXXLP
NP_org:0:pN	NPXXNXXNP
	
NP_org:f:sA	NPXXNFXAS
NP_org:f:sD	NPXXNFXDS
NP_org:f:sG	NPXXNFXGS
NP_org:f:sI	NPXXNFXIS
NP_org:f:sL	NPXXNFXLS
NP_org:f:sN	NPXXNFXNS

NP_org:m:sA	NPXXNMXAS
NP_org:m:sD	NPXXNMXDS
NP_org:m:sG	NPXXNMXGS
NP_org:m:sI	NPXXNMXIS
NP_org:m:sL	NPXXNMXLS
NP_org:m:sN	NPXXNMXNS

NP_org:n:sA	NPXXNNXAS
NP_org:n:sD	NPXXNNXDS
NP_org:n:sG	NPXXNNXGS
NP_org:n:sI	NPXXNNXIS
NP_org:n:sL	NPXXNNXLS
NP_org:n:sN	NPXXNNXNS

NP_org	NPXXNXXXX

N	NCXXNXXXX
	
N:Abbr	NCXXBXXXX
	
NP_abbr	NPXXBXXXX

# Глагол (неособые формы)

V:DD-:iap	VDDNXPXPX
V:DD-:iasf	VDDNXPXSF
V:DD-:iasm	VDDNXPXSM
V:DD-:iasn	VDDNXPXSN
V:DD-:Inf	VDDNX0XXX
V:DD-:ipp1	VDDNXR1PX|VDDNXF1PX
V:DD-:ipp2	VDDNXR2PX|VDDNXF2PX
V:DD-:ipp3	VDDNXR3PX|VDDNXF3PX
V:DD-:ips1	VDDNXR1SX|VDDNXF1SX
V:DD-:ips2	VDDNXR2SX|VDDNXF2SX
V:DD-:ips3	VDDNXR3SX|VDDNXF3SX
V:DD-:mp2	VDDNXI2PX
V:DD-:ms2	VDDNXI2SX
	
V:DI-:iap	VIDNXPXPX
V:DI-:iasf	VIDNXPXSF
V:DI-:iasm	VIDNXPXSM
V:DI-:iasn	VIDNXPXSN
V:DI-:Inf	VIDNX0XXX
V:DI-:ipp1	VIDNXR1PX|VIDNXF1PX
V:DI-:ipp2	VIDNXR2PX|VIDNXF2PX
V:DI-:ipp3	VIDNXR3PX|VIDNXF3PX
V:DI-:ips1	VIDNXR1SX|VIDNXF1SX
V:DI-:ips2	VIDNXR2SX|VIDNXF2SX
V:DI-:ips3	VIDNXR3SX|VIDNXF3SX
V:DI-:mp2	VIDNXI2PX
V:DI-:ms2	VIDNXI2SX
	
V:DI+:iap	VIDRXPXPX
V:DI+:iasf	VIDRXPXSF
V:DI+:iasm	VIDRXPXSM
V:DI+:iasn	VIDRXPXSN
V:DI+:Inf	VIDRX0XXX
V:DI+:ipp1	VIDRXR1PX|VIDRXF1PX
V:DI+:ipp2	VIDRXR2PX|VIDRXF2PX
V:DI+:ipp3	VIDRXR3PX|VIDRXF3PX
V:DI+:ips1	VIDRXR1SX|VIDRXF1SX
V:DI+:ips2	VIDRXR2SX|VIDRXF2SX
